source_product,question_number,question_label,question_type,possible_answers,status,mapped_key,notes
MedicoUnder35,1,Frazionamento premio,single_select,Annuale | Semestrale,TO_ADD,,(stesso di MedicoProtetto)
MedicoUnder35,2,Altre coperture RC in corso,boolean,Sì | No,ALREADY,q_polizza_in_corso,
MedicoUnder35,3,Target market negativo (esclusioni automatiche),multi_check,"Chirurgo plastico estetico | Anestesista rianimatore | Ginecologo con parti | Neurochirurgo | ...",TO_ADD,,Se selezionato uno → prodotto non eleggibile (eligibility rule)
MedicoUnder35,4,Sinistri ultimi 5 anni,boolean,Sì | No (se Sì → escluso),MODIFY,q_sinistri_rc,"Per Under35 è escludente; trasformare in rule eligibility specifica del prodotto"
MedicoUnder35,5,Fatti noti,boolean,Sì | No,TO_ADD,,
MedicoUnder35,-,Massimale (fisso),fixed,€2.000.000,N/A,,Non domanda utente: parametro fisso prodotto
MedicoUnder35,-,Retroattività (fissa),fixed,10 anni,N/A,,Non domanda utente: parametro fisso prodotto
DentistaProtetto,1,Tipologia attività dentistica,single_select,"Solo conservativa | Conservativa + endodonzia | Protesi/ortodonzia | Implantologia completa",MODIFY,q_implantologia,"Attuale è boolean; AmTrust richiede 4 livelli"
DentistaProtetto,2,Medicina estetica del viso,boolean,Sì | No,ALREADY,q_medicina_estetica_viso,
DentistaProtetto,3,Attività cessata,boolean,Sì | No,TO_ADD,,
DentistaProtetto,4,Struttura di proprietà,boolean,Sì | No,TO_ADD,,
DentistaProtetto,5,Retroattività,single_select,"1 | 3 | 5 | 10 anni | Illimitata",MODIFY,q_retroattivita,(vedi MedicoProtetto)
DentistaProtetto,6,Massimale,single_select,"€2.000.000 | €3.000.000 | €5.000.000",MODIFY,q_massimale_desiderato,(vedi MedicoProtetto)
DentistaProtetto,7,Franchigia,single_select,"Nessuna | €1.500 | €5.000 | €10.000",TO_ADD,,
DentistaProtetto,8,Garanzie aggiuntive,multi_check,"Ruolo apicale | Altre perdite patrimoniali | ECM",TO_ADD,,
DentistaProtetto,9,Sinistri ultimi 5 anni,integer,0..n,ALREADY,q_sinistri_rc,
DentistaProtetto,10,Fatti noti,boolean,Sì | No,TO_ADD,,
SanitarioProtetto,1,Cittadinanza extra UE,boolean,Sì | No,TO_ADD,,Eligibility/pricing rule
SanitarioProtetto,2,Attività paramedica svolta,single_select,"36+ attività in 4 gruppi di rischio (Infermiere, Fisioterapista, Ostetrica, Logopedista, Podologo, Tecnico radiologia, Biologo nutrizionista, Psicologo, ...)",TO_ADD,,Elenco chiuso con classi di rischio A/B/C/D
SanitarioProtetto,3,Tipologia copertura,single_select,"Solo colpa grave (dipendente) | Responsabilità verso terzi (libero prof.)",TO_ADD,,Decide il set di garanzie
SanitarioProtetto,4,Retroattività,single_select,"1 | 3 | 5 | 10 anni | Illimitata",MODIFY,q_retroattivita,
SanitarioProtetto,5,Massimale,single_select,"€1M | €2M | €3M | €5M",MODIFY,q_massimale_desiderato,
SanitarioProtetto,6,RC Plus (estensione),boolean,Sì | No,TO_ADD,,Add-on
SanitarioProtetto,7,Garanzia Infortuni,boolean,Sì | No,TO_ADD,,Add-on
SanitarioProtetto,8,Tutela Legale,boolean,Sì | No,ALREADY,q_tutela_legale_opzione,
SanitarioProtetto,9,Tutela Legale: vertenze di lavoro,boolean,Sì | No,TO_ADD,,Estensione della TL
SanitarioProtetto,10,Sinistri ultimi 5 anni RC,integer,0..n,ALREADY,q_sinistri_rc,
SanitarioProtetto,11,Sinistri ultimi 5 anni TL,integer,0..n,ALREADY,q_sinistri_tl,
ColpagraveExtra,1,Qualifica,single_select,"Dipendente Pubblico | Dipendente Privato | Specializzando",MODIFY,q_regime_professionale,"Attuale: Libero/Dipendente/Misto/Specializzando; va riallineato a 3 opzioni per questo prodotto o tenute compatibili"
ColpagraveExtra,2,Categoria di rischio,single_select,"Medico non dirigente | Dirigente senza ginecologia/ostetricia | Dirigente con ginecologia/ostetricia",TO_ADD,,Pricing driver principale
ColpagraveExtra,3,Licenziamento per giusta causa negli ultimi 5 anni,boolean,Sì | No,TO_ADD,,Eligibility rule
ColpagraveExtra,4,Condanne per colpa grave negli ultimi 5 anni,boolean,Sì | No,TO_ADD,,Eligibility rule
ColpagraveExtra,5,Sinistri ultimi 5 anni,integer,0..n,ALREADY,q_sinistri_rc,
ColpagraveExtra,6,Garanzia: Ruolo apicale,boolean,Sì | No,TO_ADD,,Add-on
ColpagraveExtra,7,Garanzia: Rivalsa ente,boolean,Sì | No,TO_ADD,,Add-on
ColpagraveExtra,8,Garanzia: Altre perdite patrimoniali,boolean,Sì | No,TO_ADD,,Add-on
ColpagraveExtra,9,Garanzia: Crediti ECM,boolean,Sì | No,TO_ADD,,Add-on
ColpagraveExtra,10,Garanzia: Tutela Legale,boolean,Sì | No,ALREADY,q_tutela_legale_opzione,
ColpagraveExtra,11,Garanzia: Infortuni,boolean,Sì | No,TO_ADD,,Add-on
PubblicoImpiego,1,Responsabilità amministrativa,boolean,Sì | No,TO_ADD,,Prodotto NON medico; per dipendenti pubblici
PubblicoImpiego,2,Numero di enti presso cui opera,integer,1..n,TO_ADD,,
PubblicoImpiego,3,Tipologia enti,multi_check,"Codici A/B/C/D/E/F/G/H (Comuni, Regioni, Ministeri, Enti previdenziali, ASL, ...)",TO_ADD,,Elenco chiuso
PubblicoImpiego,4,Cariche ricoperte,multi_check,"Dirigente | Funzionario | RUP | Segretario comunale | Altro",TO_ADD,,
PubblicoImpiego,5,Sezione Colpa Grave,boolean,Sì | No,TO_ADD,,
PubblicoImpiego,6,Sezione Tutela Legale,boolean,Sì | No,ALREADY,q_tutela_legale_opzione,
PubblicoImpiego,7,Sezione Infortuni,boolean,Sì | No,TO_ADD,,
PubblicoImpiego,8,Sinistri,integer,0..n,ALREADY,q_sinistri_rc,
PubblicoImpiego,9,Fatti noti,boolean,Sì | No,TO_ADD,,
